iter	Passed	Remaining
704	42724	17877
705	42784	17816
706	42841	17754
707	42904	17695
708	42964	17634
709	43027	17574
710	43076	17509
711	43133	17447
712	43187	17384
713	43241	17320
714	43304	17261
715	43357	17197
716	43408	17133
717	43462	17070
718	43522	17009
719	43578	16947
720	43630	16883
721	43679	16818
722	43728	16753
723	43790	16693
724	43857	16635
725	43916	16574
726	43978	16514
727	44050	16458
728	44105	16395
729	44164	16334
730	44226	16274
731	44281	16212
732	44347	16153
733	44415	16096
734	44469	16033
735	44534	15974
736	44596	15914
737	44655	15853
738	44707	15789
739	44768	15729
740	44823	15667
741	44883	15606
742	44946	15546
743	45007	15486
744	45061	15423
745	45115	15360
746	45174	15300
747	45226	15236
748	45286	15176
749	45353	15117
750	45416	15058
751	45480	14998
752	45539	14937
753	45600	14877
754	45653	14814
755	45701	14750
756	45767	14691
757	45828	14631
758	45891	14571
759	45948	14510
760	46012	14450
761	46068	14388
762	46127	14327
763	46185	14266
764	46248	14207
765	46311	14147
766	46371	14086
767	46423	14023
768	46488	13964
769	46553	13905
770	46615	13845
771	46671	13783
772	46720	13720
773	46774	13657
774	46829	13595
775	46888	13534
776	46955	13476
777	47013	13415
778	47064	13352
779	47129	13292
780	47185	13231
781	47244	13170
782	47296	13107
783	47352	13046
784	47409	12984
785	47472	12925
786	47528	12863
787	47590	12803
788	47654	12744
789	47710	12682
790	47764	12620
791	47820	12558
792	47872	12496
793	47932	12435
794	47984	12373
795	48043	12312
796	48101	12251
797	48150	12188
798	48214	12129
799	48284	12071
800	48348	12011
801	48405	11950
802	48451	11886
803	48513	11826
804	48575	11766
805	48637	11706
806	48697	11646
807	48757	11585
808	48819	11526
809	48880	11465
810	48938	11404
811	48997	11344
812	49054	11283
813	49118	11223
814	49184	11164
815	49259	11107
816	49322	11047
817	49380	10986
818	49441	10926
819	49499	10865
820	49562	10806
821	49620	10745
822	49687	10686
823	49748	10625
824	49814	10566
825	49866	10504
826	49926	10444
827	49983	10383
828	50037	10321
829	50090	10259
830	50148	10198
831	50204	10137
832	50263	10076
833	50325	10016
834	50390	9957
835	50450	9896
836	50509	9836
837	50558	9773
